qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,1.,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.9688,0.0186,0.0088,0.0107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2048,0.2118,0.364,0.3305]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.5127,0.4961,0.5127]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5452,0.3347,0.5107,0.393]","[0.0001,0.0001,0.0001,0.0001,0.5,0.4717,0.4980,0.4775]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5002,0.3562,0.534,0.4457]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.3652,0.5186,0.5127]"
4,"[0.0001,0.0001,0.0001,0.0001,0.632,0.6718,0.6277,0.3355]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3955,0.5029,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.025,0.5335,0.9643,0.5307]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3496,0.5166,0.5098]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4812,0.6145,0.6177,0.4535]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3428,0.5098,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3717,0.5023,0.5813,0.3285]","[0.0001,0.0001,0.0001,0.0001,0.5234,0.3486,0.4971,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.498,0.9442,0.5505,0.5565]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3652,0.5723,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5412,0.6415,0.434,0.3215]","[0.0001,0.0001,0.0001,0.0001,0.5039,0.3584,0.4834,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.339,0.7078,0.2457,0.518]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3506,0.4883,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5428,0.4845,0.4875,0.5397]","[0.0001,0.0001,0.0001,0.0001,0.5127,0.3691,0.5146,0.4678]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5272,0.766,0.5385,0.4818]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.5107,0.5225,0.6514]"
4,"[0.0001,0.0001,0.0001,0.0001,0.584,0.3825,0.1243,0.5838]","[0.0001,0.0001,0.0001,0.0001,0.4746,0.3594,0.4111,0.5195]"
4,"[0.0001,0.0001,0.0001,0.0001,0.488,0.4988,0.1203,0.3828]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.4980,0.1367,0.3926]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6033,0.6225,0.6497,0.4992]","[0.0001,0.0001,0.0001,0.0001,0.5107,0.3574,0.5205,0.4814]"
4,"[0.0001,0.0001,0.0001,0.0001,0.514,0.4363,0.485,0.7498]","[0.0001,0.0001,0.0001,0.0001,0.5352,0.4941,0.4912,0.5391]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5882,0.095,0.9647,0.3945]","[0.0001,0.0001,0.0001,0.0001,0.5615,0.3477,0.5029,0.418]"
